invalid,name,category_l,category_view,category_s,category,lunch,walking,distance,url
,イタリアンバー BOCCIANO,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),恵比寿夜景イタリアン,1200,0,0,https://r.gnavi.co.jp/r2f99xh90000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Rotisserie Blue,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),ビストロフレンチ,900,0,0,https://r.gnavi.co.jp/pnabjgen0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,鮨たか,すし・魚料理・シーフード,寿司,寿司,寿司,2000,0,0,https://r.gnavi.co.jp/g8emhngu0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,蕎麦と魚 銀平 恵比寿ガーデンプレイス店,すし・魚料理・シーフード,シーフード料理,シーフード料理,名物鯛めしと新鮮魚介,1620,0,28.64587421,https://r.gnavi.co.jp/598ynv340000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,醤油ワンタン麺 かげおか,ラーメン・麺料理,ラーメン,ラーメン,ラーメン屋,1000,0,35.16797819,https://r.gnavi.co.jp/cnbrnbut0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,Salt Water,イタリアン・フレンチ,イタリアン,イタリアン(イタリア料理),カリフォニアイタリアン,1800,0,37.30357425,https://r.gnavi.co.jp/65g1dews0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,味の牛たん喜助 ,焼き鳥・肉料理・串料理,牛タン,牛タン,牛たん専門店,1320,0,54.84817166,https://r.gnavi.co.jp/s3uzb1du0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,恵比寿 しげぞう,焼き鳥・肉料理・串料理,炭火焼き・炉端焼き,炭火焼き・炉端焼き,屋台村風居酒屋,-1,2,70.10350781,https://r.gnavi.co.jp/jwwduztn0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,BURGER KING 恵比寿ガーデンプレイス店,ファミレス・ファーストフード,ファーストフード,ファーストフード,ファーストフード,-1,1,83.77316081,https://r.gnavi.co.jp/e9zf27sx0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
,俺のBakery＆Cafe,カフェ・スイーツ,パン屋・サンドイッチ,パン屋・サンドイッチ,俺のシリーズのカフェ,1500,3,102.6072198,https://r.gnavi.co.jp/np69frfp0000/?ak=Hqa3%2BKJyyH%2FuQ%2Bo942qAMy4q%2BooRFR90%2BNTK0DWsC%2FQ%3D
